class	typeFreq	Inf	Impv2sg	Impv1pl	Impv2pl	1stPple	2ndPple	IndPres1sg	IndPres2sg	IndPres3sg	IndPres1pl	IndPres2pl	IndPres3pl	IndPast1sg	IndPast2sg	IndPast3sg	IndPast1pl	IndPast2pl	IndPast3pl	SubjPres1sg	SubjPres2sg	SubjPres3sg	SubjPres1pl	SubjPres2pl	SubjPres3pl	SubjPast1sg	SubjPast2sg	SubjPast3sg	SubjPast1pl	SubjPast2pl	SubjPast3pl
C90	2	!1Súa	!1Súðu	!1Súum	!1Súið	!1Súandi	!1Súið	!1Sý	!1Sýrð	!1Sýr	!1Súum	!1Súið	!1Súa	!1Sjó	!1Sjóst	!1Sjó	-ju-um	-ju-uð	-ju-u	!1Súi	!1Súir	!1Súi	!1Súum	!1Súið	!1Súi	-y-i	-y-ir	-y-i	-y-jum	-y-juð	-y-ju
C91	1	-ý-ja	-ý-	-ý-jum	-ý-ið	-ý-jandi	-ú-ið	-ý-	-ý-rð	-ý-r	-ý-jum	-ý-ið	-ý-ja	-jó-	-jó-st	-jó-	-ú-ðum	-ú-ðuð	-ú-ðu	-ý-i	-ý-ir	-ý-i	-ý-jum	-ý-ið	-ý-i	-ýð-i	-ýð-ir	-ýð-i	-ýð-um	-ýð-uð	-ýð-u
C92	1	-já-	-já-	-já-um	-já-ið	-já-andi	-é-ð	-jæ-	-jæ-rð	-jæ-r	-já-um	-já-ið	-já-	-é-ði	-é-ðir	-é-ði	-é-ðum	-é-ðuð	-é-ðu	-já-i	-já-ir	-já-i	-já-um	-já-ið	-já-i	-éð-i	-éð-ir	-éð-i	-éð-um	-éð-uð	-éð-u
C93	7	-e-ja	-e-	-e-jum	-e-jið	-e-jandi	-a-ið	-e-	-e-ur	-e-ur	-e-jum	-e-jið	-e-ja	-a-ti	-a-tir	-a-ti	-ö-tum	-ö-tuð	-ö-tu	-e-ji	-e-jir	-e-ji	-e-jum	-e-jið	-e-ji	-e-ti	-e-tir	-e-ti	-e-tum	-e-tuð	-e-tu
C94	8	-ý-ja	-ý-	-ý-jum	-ý-ið	-ý-jandi	-ú-ið	-ý-	-ý-rð	-ý-r	-ý-jum	-ý-ið	-ý-ja	-ú-ði	-ú-ðir	-ú-ði	-ú-ðum	-ú-ðuð	-ú-ðu	-ý-i	-ý-ir	-ý-i	-ý-jum	-ý-ið	-ý-i	-ý-ði	-ý-ðir	-ý-ði	-ý-ðum	-ý-ðuð	-ý-ðu
C95	2	-y-ja	-y-	-y-jum	-y-jið	-y-jandi	-u-ið	-y-	-y-ð	-y-	-y-jum	-y-jið	-y-ja	-u-ði	-u-ðir	-u-ði	-u-ðum	-u-ðuð	-u-ðu	-y-ji	-y-jir	-y-ji	-y-jum	-y-jið	-y-ji	-y-ði	-y-ðir	-y-ði	-y-ðum	-y-ðuð	-y-ðu
C96	2	-y-ja	-y-	-y-jum	-y-jið	-y-jandi	-u-t	-y-	-y-ð	-y-	-y-jum	-y-jið	-y-ja	-u-ði	-u-ðir	-u-ði	-u-ðum	-u-ðuð	-u-ðu	-y-ji	-y-jir	-y-ji	-y-jum	-y-jið	-y-ji	-y-ði	-y-ðir	-y-ði	-y-ðum	-y-ðuð	-y-ðu
C97	3	-y-ja	-y-	-y-jum	-y-jið	-y-jandi	-u-D	-y-	-y-ur	-y-ur	-y-jum	-y-jið	-y-ja	-u-ði	-u-ðir	-u-ði	-u-ðum	-u-ðuð	-u-ðu	-y-ji	-y-jir	-y-ji	-y-jum	-y-jið	-y-ji	-y-ði	-y-ðir	-y-ði	-y-ðum	-y-ðuð	-y-ðu
C98	4	-e-ja	-e-	-e-jum	-e-jið	-e-jandi	-a-ið	-e-	-e-ð	-e-	-e-jum	-e-jið	-e-ja	-a-ði	-a-ðir	-a-ði	-ö-ðum	-ö-ðuð	-ö-ðu	-e-ji	-e-jir	-e-ji	-e-jum	-e-jið	-e-ji	-e-ði	-e-ðir	-e-ði	-e-ðum	-e-ðuð	-e-ðu
C99	5	-e-ja	-e-	-e-jum	-e-jið	-e-jandi	!1Satt	-e-	-e-ur	-e-ur	-e-jum	-e-jið	-e-ja	-a-ði	-a-ðir	-a-ði	-ö-ðum	-ö-ðuð	-ö-ðu	-e-ji	-e-jir	-e-ji	-e-jum	-e-jið	-e-ji	-e-ði	-e-ðir	-e-ði	-e-ðum	-e-ðuð	-e-ðu
C100	4	-y-ja	-y-	-y-jum	-y-jið	-y-jandi	!1Sutt	-y-	-y-ur	-y-ur	-y-jum	-y-jið	-y-ja	-u-ði	-u-ðir	-u-ði	-u-ðum	-u-ðuð	-u-ðu	-y-ji	-y-jir	-y-ji	-y-jum	-y-jið	-y-ji	-y-ði	-y-ðir	-y-ði	-y-ðum	-y-ðuð	-y-ðu
C101	1	-i-Dja	-i-D	-i-Djum	-i-Dið	-i-Djandi	!1Sáð	-i-D	-i-Dur	-i-Dur	-i-Djum	-i-Dið	-i-Dja	!1Sáði	!1Sáðir	!1Sáði	!1Sáðum	!1Sáðuð	!1Sáðu	-i-Di	-i-Dir	-i-Di	-i-Djum	-i-Dið	-i-Di	!1Sæði	!1Sæðir	!1Sæði	!1Sæðum	!1Sæðuð	!1Sæðu
C102	1	-∅-ja	-∅-	-∅-jum	-∅-ið	-∅-jandi	-j-að	-∅-	-∅-rð	-∅-r	-∅-jum	-∅-ið	-∅-ja	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu	-∅-i	-∅-ir	-∅-i	-∅-jum	-∅-ið	-∅-i	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu
C103	1	-e-a	-e-	-e-um	-e-ið	-e-andi	-a-ið	-e-	-e-ur	-e-ur	-e-um	-e-ið	-e-a	-a-ði	-a-ðir	-a-ði	-ö-ðum	-ö-ðuð	-ö-ðu	-e-i	-e-ir	-e-i	-e-um	-e-ið	-e-i	-e-ði	-e-ðir	-e-ði	-e-ðum	-e-ðuð	-e-ðu
C104	1	-e-ja	-e-	-e-jum	-e-jið	-e-jandi	-e-t	-e-	-e-ur	-e-ur	-e-jum	-e-jið	-e-ja	-e-ði	-e-ðir	-e-ði	-e-ðum	-e-ðuð	-e-ðu	-e-ji	-e-jir	-e-ji	-e-jum	-e-jið	-e-ji	-e-ði	-e-ðir	-e-ði	-e-ðum	-e-ðuð	-e-ðu
C105	3	-e-ja	-e-	-e-jum	-e-jið	-e-jandi	-e-D	-e-	-e-ur	-e-ur	-e-jum	-e-jið	-e-ja	-e-ði	-e-ðir	-e-ði	-e-ðum	-e-ðuð	-e-ðu	-e-ji	-e-jir	-e-ji	-e-jum	-e-jið	-e-ji	-e-ði	-e-ðir	-e-ði	-e-ðum	-e-ðuð	-e-ðu
C106	1	-∅-	!?	!?	!?	!?	-∅-ð	!?	!?	-ð-ur	!?	!?	!?	!?	!?	-∅-ði	!?	!?	!?	!?	!?	-ð-i	!?	!?	!?	!?	!?	-∅-ði	!?	!?	!?
