class	typeFreq	Inf	Impv2sg	Impv1pl	Impv2pl	1stPple	2ndPple	IndPres1sg	IndPres2sg	IndPres3sg	IndPres1pl	IndPres2pl	IndPres3pl	IndPast1sg	IndPast2sg	IndPast3sg	IndPast1pl	IndPast2pl	IndPast3pl	SubjPres1sg	SubjPres2sg	SubjPres3sg	SubjPres1pl	SubjPres2pl	SubjPres3pl	SubjPast1sg	SubjPast2sg	SubjPast3sg	SubjPast1pl	SubjPast2pl	SubjPast3pl
C141	16	-∅-	-∅-	-∅-um	-∅-ið	-∅-andi	-∅-ð	-∅-i	-∅-ir	-∅-ir	-∅-um	-∅-ið	-∅-	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu	-∅-i	-∅-ir	-∅-i	-∅-um	-∅-ið	-∅-i	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu
C142	5	-o-a	-o-	-o-um	-o-ið	-o-andi	-o-að	-o-i	-o-ir	-o-ir	-o-um	-o-ið	-o-a	-o-di	-o-dir	-o-di	-o-dum	-o-duð	-o-du	-o-i	-o-ir	-o-i	-o-um	-o-ið	-o-i	-y-di	-y-dir	-y-di	-y-dum	-y-duð	-y-du
C143	1	-∅-a	-∅-	-∅-um	-∅-ið	-∅-andi	-∅-að	-∅-i	-∅-ir	-∅-ir	-∅-um	-∅-ið	-∅-a	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu	-∅-i	-∅-ir	-∅-i	-∅-um	-∅-ið	-∅-i	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu
C144	4	-a-a	-a-	-ö-um	-a-ið	-a-andi	-a-að	-a-i	-a-ir	-a-ir	-ö-um	-a-ið	-a-a	-a-ti	-a-tir	-a-ti	-ö-tum	-ö-tuð	-ö-tu	-a-i	-a-ir	-a-i	-ö-um	-a-ið	-a-i	-e-ti	-e-tir	-e-ti	-e-tum	-e-tuð	-e-tu
C145	2	-a-a	-a-	-ö-um	-a-ið	-a-andi	-a-að	-a-i	-a-ir	-a-ir	-ö-um	-a-ið	-a-a	-a-ði	-a-ðir	-a-ði	-ö-ðum	-ö-ðuð	-ö-ðu	-a-i	-a-ir	-a-i	-ö-um	-a-ið	-a-i	-a-ði	-a-ðir	-a-ði	-ö-ðum	-ö-ðuð	-ö-ðu
C146	1	-∅-a	-∅-	-∅-um	-∅-ið	-∅-andi	-∅-að	-∅-i	-∅-ir	-∅-ir	-∅-um	-∅-ið	-∅-a	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu	-∅-i	-∅-ir	-∅-i	-∅-um	-∅-ið	-∅-i	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu
C147	1	-o-	-o-	-o-um	-o-ið	-o-andi	-eg-ið	-æ-	-æ-rð	-æ-r	-o-um	-o-ið	-o-	-o-ði	-o-ðir	-o-ði	-o-ðum	-o-ðuð	-o-ðu	-o-i	-o-ir	-o-i	-o-um	-o-ið	-o-i	-æ-ði	-æ-ðir	-æ-ði	-æ-ðum	-æ-ðuð	-æ-ðu
C148	1	-já-	-já-	-já-um	-já-ið	-já-andi	-já-ð	-já-i	-já-ir	-já-ir	-já-um	-já-ið	-já-	-já-ði	-já-ðir	-já-ði	-já-ðum	-já-ðuð	-já-ðu	-já-i	-já-ir	-já-i	-já-um	-já-ið	-já-i	-é-ði	-é-ðir	-é-ði	-é-ðum	-é-ðuð	-é-ðu
C149	1	-á-	-á-ðu	-á-um	-á-ið	-á-andi	-á-ð	-æ-	-æ-rð	-æ-r	-á-um	-á-ið	-á-	-á-ði	-á-ðir	-á-ði	-á-ðum	-á-ðuð	-á-ðu	-á-i	-á-ir	-á-i	-á-um	-á-ið	-á-i	-æ-ði	-æ-ðir	-æ-ði	-æ-ðum	-æ-ðuð	-æ-ðu
C150	1	-já-	-já-	-já-um	-já-ið	-já-andi	-já-ð	-já-i	-já-ir	-já-ir	-já-um	-já-ið	-já-	-já-ði	-já-ðir	-já-ði	-já-ðum	-já-ðuð	-já-ðu	-já-i	-já-ir	-já-i	-já-um	-já-ið	-já-i	-já-ði	-já-ðir	-já-ði	-já-ðum	-já-ðuð	-já-ðu
C151	1	-a-a	-a-	-ö-um	-a-ið	-a-andi	-a-að	-a-i	-a-ir	-a-ir	-ö-um	-a-ið	-a-a	-a-ði	-a-ðir	-a-ði	-ö-ðum	-ö-ðuð	-ö-ðu	-a-i	-a-ir	-a-i	-ö-um	-a-ið	-a-i	-e-ði	-e-ðir	-e-ði	-e-ðum	-e-ðuð	-e-ðu
C152	3	-∅-a	-∅-	-∅-um	-∅-ið	-∅-andi	-∅-t	-∅-i	-∅-ir	-∅-ir	-∅-um	-∅-ið	-∅-a	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu	-∅-i	-∅-ir	-∅-i	-∅-um	-∅-ið	-∅-i	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu
C153	1	-∅-a	-∅-	-∅-um	-∅-ið	-∅-andi	-∅-t	-∅-i	-∅-ir	-∅-ir	-∅-um	-∅-ið	-∅-a	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu	-∅-i	-∅-ir	-∅-i	-∅-um	-∅-ið	-∅-i	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu
C154	14	-∅-a	-∅-	-∅-um	-∅-ið	-∅-andi	-∅-að	-∅-i	-∅-ir	-∅-ir	-∅-um	-∅-ið	-∅-a	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu	-∅-i	-∅-ir	-∅-i	-∅-um	-∅-ið	-∅-i	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu
C155	2	-∅-a	-∅-	-∅-um	-∅-ið	-∅-andi	-∅-að	-∅-i	-∅-ir	-∅-ir	-∅-um	-∅-ið	-∅-a	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu	-∅-i	-∅-ir	-∅-i	-∅-um	-∅-ið	-∅-i	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu
C156	1	-a-a	!?	!?	!?	-a-andi	-a-að	-a-i	-a-ir	-a-ir	-ö-um	-a-ið	-a-a	-a-ði	-a-ðir	-a-ði	-ö-ðum	-ö-ðuð	-ö-ðu	-a-i	-a-ir	-a-i	-ö-um	-a-ið	-a-i	-e-ði	-e-ðir	-e-ði	-e-ðum	-e-ðuð	-e-ðu
C157	8	-∅-a	-∅-	-∅-um	-∅-ið	-∅-andi	-∅-t	-∅-i	-∅-ir	-∅-ir	-∅-um	-∅-ið	-∅-a	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu	-∅-i	-∅-ir	-∅-i	-∅-um	-∅-ið	-∅-i	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu
C158	1	-á-	-á-ðu	-á-um	-á-ið	-á-andi	-á-ð	-æ-	-æ-rð	-æ-r	-á-um	-á-ið	-á-	-á-ði	-á-ðir	-á-ði	-á-ðum	-á-ðuð	-á-ðu	-á-i	-á-ir	-á-i	-á-um	-á-ið	-á-i	-æ-ði	-æ-ðir	-æ-ði	-æ-ðum	-æ-ðuð	-æ-ðu
C159	97	-a-a	-a-a	-ö-um	-a-ið	-a-andi	-a-að	-a-a	-a-ar	-a-ar	-ö-um	-a-ið	-a-a	-a-aði	-a-aðir	-a-aði	-ö-uðum	-ö-uðuð	-ö-uðu	-a-i	-a-ir	-a-i	-ö-um	-a-ið	-a-i	-a-aði	-a-aðir	-a-aði	-ö-uðum	-ö-uðuð	-ö-uðu
C160	282	-∅-a	-a-ðu	-∅-um	-∅-ið	-∅-andi	-∅-að	-∅-a	-∅-ar	-∅-ar	-∅-um	-∅-ið	-∅-a	-a-ði	-a-ðir	-a-ði	-u-ðum	-u-ðuð	-u-ðu	-∅-i	-∅-ir	-∅-i	-∅-um	-∅-ið	-∅-i	-a-ði	-a-ðir	-a-ði	-u-ðum	-u-ðuð	-u-ðu
C161	1	-j-a	-∅-	-j-um	-∅-ið	-j-andi	-j-að	-j-a	-j-ar	-j-ar	-j-um	-∅-ið	-j-a	-ja-ði	-ja-ðir	-ja-ði	-ju-ðum	-ju-ðuð	-ju-ðu	-∅-i	-∅-ir	-∅-i	-j-um	-∅-ið	-∅-i	-ja-ði	-ja-ðir	-ja-ði	-ju-ðum	-ju-ðuð	-ju-ðu
C162	5	-∅-a	-∅-a	-∅-um	-∅-ið	-∅-andi	-∅-að	-∅-a	-∅-ar	-∅-ar	-∅-um	-∅-ið	-∅-a	-a-ði	-a-ðir	-a-ði	-u-ðum	-u-ðuð	-u-ðu	-∅-i	-∅-ir	-∅-i	-∅-um	-∅-ið	-∅-i	-a-ði	-a-ðir	-a-ði	-u-ðum	-u-ðuð	-u-ðu
